30 Jun 22 - 08:20,"Transkon Jaya TRJA Gelar RUPS Hari Ini, Simak Agendanya",10362,publish,Yes,Bisnis Kalimantan,-
12 Jan 21 - 09:16,Pemkot Balikpapan Gandeng Swasta Garap Kawasan Industri Kariangau,10348,publish,Yes,Kabar Kalimantan,Headline
01 Jul 22 - 05:14,Mei 2022: Nilai Ekspor Impor Kaltim Kompak Turun,10342,publish,Yes,Bisnis Kalimantan,-
25 Oct 22 - 01:35,Presiden Serahkan Langsung BLT BBM di Kota Balikpapan,10338,publish,Yes,Kabar Kalimantan,Headline
24 Jan 21 - 08:41,Balikpapan Bakal Gelar Tes Antigen bagi Pelaku Perjalanan Darat Besok,10335,publish,Yes,Kabar Kalimantan,-
17 May 22 - 08:40,Apical Group Sumatera dan Kalimantan Minta Ekspor CPO Segera Dibuka,10330,publish,Yes,Bisnis Kalimantan,-
26 May 22 - 11:13,"Kawasan Industri Tanah Kuning-Mangkupadi di Kaltara, Begini Tantangannya",10327,publish,Yes,Kabar Kalimantan,-
24 Jun 22 - 08:41,Pembebasan Lahan Jalan Pendekat Pulau Balang Sisi Kota Balikpapan Dilakukan Bertahap,10300,publish,Yes,Bisnis Kalimantan,-
31 Oct 22 - 05:15,Tiga Desa Kaltim Ditarget Masuk 50 Besar Desa Wisata Terbaik,10276,publish,Yes,Kabar Kalimantan,-
06 Dec 22 - 01:10,"Dana Rp22,9 triliun APBN untuk Kaltim Bakal Dukung Pembangunan Infrastruktur IKN",10270,publish,Yes,Kabar Kalimantan,-
19 Apr 23 - 06:32,"Vaksin Booster di Balikpapan Tersedia Kembali, Ini Lokasi Vaksinasi",10259,publish,Yes,Kabar Kalimantan,-
24 Jun 21 - 08:05,"Catat! Pemkot Samarinda Siap Vaksinasi 3.300 Warga, Tersebar di 3 Tempat",10220,publish,Yes,Kabar Kalimantan,-
11 Jul 22 - 08:30,Jadwal dan Lokasi Vaksin Booster di Kota Balikpapan 11-15 Juli 2022,10167,publish,Yes,Kabar Kalimantan,-
30 Jan 23 - 04:39,"Pengguna Uang Elektronik Asal Kaltim Sebanyak 4,90 Juta Orang",10147,publish,Yes,Kabar Kalimantan,Headline
20 Apr 23 - 08:58,"Cuaca Mendung, Ketinggian Hilal Hanya 1,5 Derajat di Balikpapan",10134,publish,Yes,Kabar Kalimantan,-
20 Apr 23 - 06:22,Jalur Balikpapan Samarinda Terpantau Lengang Hari Ini,10133,publish,Yes,Kabar Kalimantan,-
28 Jun 22 - 09:40,Pemprov Kaltim: Masa Depan Ekonomi Ada di Sektor Perkebunan Berkelanjutan,10133,publish,Yes,Bisnis Kalimantan,-
20 Apr 23 - 04:18,Penjualan Ponsel di Samarinda Naik 50 Persen,10127,publish,Yes,Kabar Kalimantan,-
02 Dec 20 - 07:39,"Gubernur Kaltim Larang Perayaan Tahun Baru 2021, Ini Surat Edarannya",10125,publish,Yes,Kabar Kalimantan,-
21 Apr 23 - 02:05,Ramalan Cuaca Lebaran: Kaltim Berpotensi Diguyur Hujan,10104,publish,Yes,Kabar Kalimantan,-
15 Feb 23 - 02:51,"Bangunan Pasar Pagi Samarinda Bakal Diratakan Pemkot, Kenapa?",10103,publish,Yes,Kabar Kalimantan,-
28 Feb 23 - 01:11,Proyek Pipa Gas Senipah-Balikpapan Disoal Dewan,10085,publish,Yes,Kabar Kalimantan,-
19 Apr 23 - 09:58,"Pembiayaan Syariah di Kaltim, Begini Porsi Terbesarnya",10082,publish,Yes,Kabar Kalimantan,-
14 Dec 22 - 06:23,"Penerbangan Domestik ke Kaltim Melonjak, Dorong Konsumsi Rumah Tangga",10075,publish,Yes,Bisnis Kalimantan,-
22 Jan 21 - 08:07,"Potensi Besar, Penerimaan Pajak Sarang Burung Walet di Kaltim Hanya Rp864,7 Juta",10002,publish,Yes,Pajak,-
15 Feb 23 - 05:54,Beasiswa bagi Warga Kalimantan Timur Tersedia Rp300 Miliar pada 2023,10000,publish,Yes,Kabar Kalimantan,-
21 Apr 23 - 02:29,"ASN Dilarang Terima Gratifikasi Saat Hari Raya, Ini Saran Gubernur Kaltim",9996,publish,Yes,Kabar Kalimantan,-
05 Mar 23 - 09:28,Triliunan Rupiah untuk Bangun Gedung Perkantoran di Kaltim,9990,publish,Yes,Kabar Kalimantan,-
21 Apr 23 - 06:39,Puncak Arus Mudik 2023 di Bandara SAMS Sepinggan Melampaui Perkiraan,9984,publish,Yes,Bisnis Kalimantan,-
30 Jun 22 - 07:03,Hasil RUPS Transkon Jaya (TRJA): Bagi Dividen Rp6 Miliar Hingga Penunjukan Direktur Pemasaran,9968,publish,Yes,Bisnis Kalimantan,-
07 Feb 23 - 06:45,Balikpapan Tatap IKN Sebagai Pengungkit Potensi Peningkatan PAD,9898,publish,Yes,Kabar Kalimantan,-
21 Apr 23 - 07:03,"Gubernur Kaltara Sidak Pasar Induk H-1 Lebaran, Begini Temuannya",9856,publish,Yes,Bisnis Kalimantan,-
10 Nov 22 - 05:23,Terbaru! Tiga Proyek Kaltim Bakal Ditawarkan ke Investor Lokal dan Mancanegara,9852,publish,Yes,Bisnis Kalimantan,-
17 May 22 - 12:07,"Cek! Lokasi Vaksinasi di Kota Balikpapan Hari Ini, 17 Mei 2022",9848,publish,Yes,Kabar Kalimantan,-
10 Mar 23 - 04:03,"Jalan Negara di Kutai Barat Rusak, Ini Dampaknya",9820,publish,Yes,Kabar Kalimantan,-
09 Feb 21 - 09:25,Akhirnya! Kaltara Buka Lagi Perdagangan Lintas Batas dengan Malaysia,9811,publish,Yes,Kabar Kalimantan,-
21 Jun 22 - 09:00,Ini Ramalan BI Soal Batu Bara di Kalimantan Timur 2022,9808,publish,Yes,Bisnis Kalimantan,-
04 Mar 23 - 02:41,Pasokan Bahan Pokok di Kaltim Dipastikan Aman Saat Ramadan,9799,publish,Yes,Kabar Kalimantan,-
30 Dec 20 - 08:39,Kasus Positif Covid 19 Balikpapan Melonjak Jelang Akhir Tahun,9791,publish,Yes,Kabar Kalimantan,Headline
11 Jan 23 - 06:30,Kondisi Ekonomi Kalimantan Terkini dan Tantangannya,9790,publish,Yes,Kabar Kalimantan,Headline
12 Jan 21 - 08:37,Vaksinasi Covid-19 di Balikpapan Ditunda Hingga Februari 2021,9776,publish,Yes,Kabar Kalimantan,-
22 Apr 23 - 12:27,Masjid Islamic Center Samarinda Salurkan ZIS Total Rp719 Juta Selama Ramadan 2023,9718,publish,Yes,Kabar Kalimantan,-
26 Feb 23 - 12:33,IKN Jadi Magnet Baru Pengunjung Mal di Kalimantan Timir,9699,publish,Yes,Kabar Kalimantan,-
29 Jun 22 - 04:58,"KPPU: Harga Migor Curah Turun, Migor Kemasan Tetap Minggu Ini",9682,publish,Yes,Bisnis Kalimantan,-
29 Jun 22 - 01:40,"Sudah 4 Minggu Harga Ayam Potong, Cabai Rawit dan Bawang Merah di Balikpapan Mahal",9675,publish,Yes,Bisnis Kalimantan,-
02 Mar 23 - 08:12,Ketahanan Pangan Kota Balikpapan Teratas Nasional,9673,publish,Yes,Bisnis Kalimantan,-
20 Oct 22 - 04:38,Pemkot Balikpapan Imbau Warga Lakukan Langkah Ini Bila Anak Demam,9660,publish,Yes,Kabar Kalimantan,-
04 Apr 22 - 10:38,Simak! Jadwal dan Lokasi Vaksinasi di Balikpapan Selama Puasa,9608,publish,Yes,Kabar Kalimantan,-
07 Feb 23 - 03:02,"Arah Pembangunan Kota Balikpapan, Ini Penjelasan Kepala Daerah",9592,publish,Yes,Kabar Kalimantan,-
28 Jun 22 - 08:35,"Digitalisasi Subsidi Bakal Lewati Jalan Berliku di Kaltim, Ini Usul Pengamat Ekonomi",9578,publish,Yes,Bisnis Kalimantan,-
14 Feb 23 - 06:09,UMKM Digital Kaltim Tumbuh 10 Persen Tiap Tahun,9552,publish,Yes,Kabar Kalimantan,-
07 Feb 23 - 02:17,"Khusus Kalimantan, Pertamina Bayar Pajak Kendaraan Rp5,91 Triliun pada 2022",9541,publish,Yes,Bisnis Kalimantan,-
07 Feb 23 - 01:36,"Cegah Praktik Monopoli, KPPU Kanwil V Minta Dukungan Pemprov Kalbar",9540,publish,Yes,Bisnis Kalimantan,-
15 Mar 23 - 09:19,Dinas PU Balikpapan: Jalan MT Haryono Dibuka Sebelum Ramadan,9524,publish,Yes,Kabar Kalimantan,-
17 Feb 23 - 03:32,"Pelanggan Indosat (ISAT) Tembus 102 Juta, Wilayah Kalisumapa Sumbang Kenaikan 56 Persen",9521,publish,Yes,Bisnis Kalimantan,-
02 Mar 23 - 05:49,Inflasi Tahunan Balikpapan Lewati Level Provinsi dan Nasional,9515,publish,Yes,Bisnis Kalimantan,-
07 Feb 23 - 12:15,Capaian Rumah Layak Huni di Balikpapan Lampaui Target Renstra 2022,9515,publish,Yes,Bisnis Kalimantan,-
08 Dec 22 - 05:05,Daya Pikat Investasi Kaltim Sebagai Pintu Gerbang IKN,9489,publish,Yes,Bisnis Kalimantan,-
09 May 22 - 02:45,"Berkah Lebaran, Thrift Store di Kota Samarinda Cuan Hingga Jutaan Rupiah",9484,publish,Yes,Bisnis Kalimantan,-
18 Jan 21 - 09:00,"Tingkat Kemiskinan Balikpapan Naik Saat Pandemi Covid-19, Ini Kata BPS",9473,publish,Yes,Kabar Kalimantan,-
27 Jun 22 - 08:48,Disbun Paser Siapkan Strategi Jangka Pendek Atasi Jatuhnya Harga TBS Petani Swadaya,9443,publish,Yes,Bisnis Kalimantan,-
30 Mar 22 - 02:20,"Jadi Sekda Kaltim Termuda, Berikut Profil Sri Wahyuni",9443,publish,Yes,Kabar Kalimantan,-
23 Feb 23 - 05:24,"Persaingan Usaha Pariwisata di Kaltim, Begini Kondisinya",9434,publish,Yes,Kabar Kalimantan,-
07 Feb 23 - 10:04,Tren Positif Kinerja Ekonomi Kaltim Diprediksi Berlanjut di Awal 2023,9431,publish,Yes,Kabar Kalimantan,-
19 Oct 22 - 08:20,Waduh! Ekspor Batu Bara Kaltim Tersandung Produksi Batu Bara Tiongkok,9415,publish,Yes,Bisnis Kalimantan,-
26 Feb 23 - 03:53,"Akhir Februari 2023, Harga Bapok Kaltim Cenderung Naik",9405,publish,Yes,Bisnis Kalimantan,-
05 Mar 23 - 09:04,Balikpapan Kekurangan Guru,9401,publish,Yes,Kabar Kalimantan,-
14 Apr 23 - 01:07,Ada 2 Investor Baru Segera Menempati KEK MBTK di Kalimantan Timur,9397,publish,Yes,Bisnis Kalimantan,-
03 Mar 23 - 08:53,"Produksi Padi di Kaltim Turun 2,15 Persen pada 2022",9370,publish,Yes,Bisnis Kalimantan,-
25 Apr 23 - 10:15,Rekomendasi Destinasi Wisata Balikpapan untuk Libur Lebaran,9334,publish,Yes,Kabar Kalimantan,-
07 Mar 23 - 03:54,Balikpapan Perkuat Peran sebagai Penyangga IKN Nusantara,9330,publish,Yes,Bisnis Kalimantan,-
02 Feb 23 - 09:04,"Hunian Hotel Kaltim 67,52 Persen, Naik 4,9 Poin dari Tahun Lalu",9324,publish,Yes,Kabar Kalimantan,-
18 Oct 22 - 06:26,KPPU Selidiki Isu Pelanggaran Persaingan Usaha di Pelabuhan Samarinda,9323,publish,Yes,Kabar Kalimantan,-
28 Feb 23 - 12:55,Pemilik KTP Digital di Balikpapan Capai 2.392 Orang,9323,publish,Yes,Kabar Kalimantan,-
09 May 23 - 04:50,Simak! Tiga Proyek Infrastruktur Jalan di Balikpapan Siap Dikerjakan Tahun Ini,9323,publish,Yes,Bisnis Kalimantan,-
28 Sep 22 - 03:43,"Ekspor Berkelanjutan Kaltim, Ada Potensi Nanas hingga Kelengkeng",9310,publish,Yes,Kabar Kalimantan,-
12 May 22 - 07:08,Pemkot Balikpapan Targetkan 70 Persen Vaksinasi Booster Akhir Juli 2022,9279,publish,Yes,Kabar Kalimantan,-
17 Feb 23 - 02:28,Beras dan Cabai Picu Kenaikan Harga Bahan Pokok Kaltim Pekan Ini,9278,publish,Yes,Bisnis Kalimantan,-
27 Jun 22 - 09:35,"Harga TBS Petani Bermitra di Kabupaten Paser Ikut Anjlok, Begini Penjelasan Disbunnak",9269,publish,Yes,Bisnis Kalimantan,-
17 Feb 23 - 02:52,Top! Persaingan Usaha Kaltim Teratas di Tingkat Nasional,9269,publish,Yes,Bisnis Kalimantan,-
09 Apr 21 - 05:13,PLTB Jadi Daya Tarik Investasi Energi Terbarukan di Kalsel,9268,publish,Yes,Bisnis Kalimantan,-
06 Jul 22 - 07:31,"Simak Syarat, Jadwal, dan Lokasi Vaksin Covid-19 Booster Hari Ini di Balikpapan",9256,publish,Yes,Kabar Kalimantan,-
12 Dec 22 - 03:50,"Jadi Eksportir Baru, 8 UMKM Asal Kaltim Tembus Pasar Luar Negeri",9255,publish,Yes,Bisnis Kalimantan,-
16 Feb 23 - 03:05,Siasat Kaltim Atasi Ketergantungan Pasokan Bahan Pokok dari Luar Daerah,9252,publish,Yes,Bisnis Kalimantan,-
13 Mar 23 - 08:23,Asyik! Insentif Guru di Kaltara Bakal Cair Sebelum Lebaran,9252,publish,Yes,Kabar Kalimantan,-
02 Mar 23 - 04:11,"Inflasi Kaltim Februari 2023, Ini Kontributor Terbesar",9250,publish,Yes,Kabar Kalimantan,-
12 May 22 - 05:40,Pembangunan Jalan Pendekat Jembatan Pulau Balang Dikebut,9247,publish,Yes,Bisnis Kalimantan,-
01 Mar 23 - 07:15,"Naik 500 Persen, Ekspor Hasil Pertanian Kaltim Belum Mampu Saingi Batu Bara",9246,publish,Yes,Bisnis Kalimantan,-
